n_poi,repeats,baseline_mean_s,baseline_min_s,baseline_max_s,optimized_mean_s,optimized_min_s,optimized_max_s,saved_s,speedup,reduction_percent,baseline_route_attempts_per_run,optimized_route_attempts_per_run,baseline_mock_http_per_run,optimized_mock_http_per_run,real_network_per_run,baseline_retries_per_run,optimized_retries_per_run,baseline_success_per_run,optimized_success_per_run,baseline_failure_per_run,optimized_failure_per_run,baseline_concurrency,optimized_concurrency,configured_mock_qps
10,3,3.54598363332722,3.5381404999934603,3.5578781999938656,3.5475628666754346,3.539190300012706,3.5522280000150204,-0.001579233348214526,0.9995548399260097,-0.04453583297373318,10,10,10,10,0,0,0,10,10,0,0,1,1,3.0
25,3,9.375230900011957,9.37002040000516,9.380141700006789,9.384745833328148,9.373876099998597,9.39775780000491,-0.009514933316191687,0.9989861277561294,-0.1014901224051938,25,25,25,25,0,0,0,25,25,0,0,1,1,3.0
50,3,19.108403300003072,19.094379799993476,19.123472700011916,19.09273383333736,19.080941799998982,19.11424560000887,0.015669466665713117,1.000820703143012,0.08200301416974277,50,50,50,50,0,0,0,50,50,0,0,1,1,3.0
100,3,38.535012933338294,38.52111120001064,38.54703089999384,38.55043166666292,38.537419500004034,38.57397199998377,-0.015418733324622735,0.9996000373365999,-0.040012269753991254,100,100,100,100,0,0,0,100,100,0,0,1,1,3.0
