qps_od_per_second,n_poi,batch_cap,max_actual_matrix_batch,variant,latency_model,repeats,baseline_mean_s,baseline_min_s,baseline_max_s,matrix_mean_s,matrix_min_s,matrix_max_s,saved_s,reduction_percent,speedup,baseline_http,matrix_http,http_reduction_percent,logical_od,baseline_od_attempts,matrix_od_attempts,baseline_provider_calls,matrix_provider_calls,baseline_gate_wait_s,matrix_gate_wait_s,baseline_retry,matrix_retry_http,matrix_retry_od,baseline_failure,matrix_failure_http,baseline_numeric_success,matrix_numeric_success,baseline_numeric_unknown,matrix_numeric_unknown,baseline_business_unknown,matrix_business_unknown,baseline_p50_http_s,matrix_p50_http_s,baseline_p95_http_s,matrix_p95_http_s,baseline_mean_http_s,matrix_mean_http_s,full_evidence_agreement_percent,max_distance_error_m_mock,max_duration_error_s_mock,baseline_release_estimate_s,matrix_release_measured_s,max_observed_rolling_od,actual_http_concurrency,real_network_requests
50,25,20,20,matrix,parallel,3,1.9006316333349484,1.8919424999912735,1.9095214999979362,0.5225258333278665,0.5220405999862123,0.5233171999861952,1.378105800007082,72.50777982627727,3.637392664837624,25,2,92.0,25,25,25,25,2,0.7335968666399518,0.4030408333152688,0,0,0,0,0,25,25,0,0,6,25,0.046446866675978526,0.05887531667152265,0.06257471333180244,0.06148311166956167,0.04607076133135706,0.05887531667152265,0,0,0,1.9206316333349485,0.6225057000119705,25,1,0
50,25,50,25,matrix,parallel,3,1.9006316333349484,1.8919424999912735,1.9095214999979362,0.05603673332370818,0.054596899979515,0.05716759999631904,1.8445949000112403,97.05167838202381,33.91760226913198,25,1,96.0,25,25,25,25,1,0.7335968666399518,3.580000096311172e-05,0,0,0,0,0,25,25,0,0,6,25,0.046446866675978526,0.0550198666654372,0.06257471333180244,0.0550198666654372,0.04607076133135706,0.0550198666654372,0,0,0,1.9206316333349485,0.5560195333188555,25,1,0
50,50,5,5,matrix,parallel,3,3.8536739333358128,3.8384695000131615,3.86357760001556,1.5933291666733567,1.5897136000276078,1.6004542000009678,2.260344766662456,58.65428175200746,2.4186301323923747,50,10,80.0,50,50,50,50,10,1.4960322999686468,0.9759563666496737,0,0,0,0,0,50,50,0,0,13,50,0.046338316664332524,0.06140094999864232,0.06266738333360991,0.06252403000204747,0.04653356999954364,0.06096334999795848,0,0,0,3.873673933335813,1.693313366684985,30,1,0
50,50,10,10,matrix,parallel,3,3.8536739333358128,3.8384695000131615,3.86357760001556,1.116129200013044,1.1117655000125524,1.1185919000126887,2.7375447333227685,71.0372693870625,3.4527131207487227,50,5,90.0,50,50,50,50,5,1.4960322999686468,0.8114862666795185,0,0,0,0,0,50,50,0,0,13,50,0.046338316664332524,0.06159290000020216,0.06266738333360991,0.06236750000583318,0.04653356999954364,0.06010674666807366,0,0,0,3.873673933335813,1.3161125666714117,40,1,0
50,50,20,20,matrix,parallel,3,3.8536739333358128,3.8384695000131615,3.86357760001556,1.0010064333328046,0.9985626999987289,1.0057783999945968,2.852667500003008,74.02462038436359,3.849799366928326,50,3,94.0,50,50,50,50,3,1.4960322999686468,0.811003666681548,0,0,0,0,0,50,50,0,0,13,50,0.046338316664332524,0.06194369999381403,0.06266738333360991,0.06426677999358314,0.04653356999954364,0.06239641110813762,0,0,0,3.873673933335813,1.200978800014127,50,1,0
50,50,50,50,matrix,parallel,3,3.8536739333358128,3.8384695000131615,3.86357760001556,0.06294600000061716,0.06180019999737851,0.06493809999665245,3.7907279333351958,98.36659766525369,61.22190342989275,50,1,98.0,50,50,50,50,1,1.4960322999686468,3.8633336468289294e-05,0,0,0,0,0,50,50,0,0,13,50,0.046338316664332524,0.061722033336991444,0.06266738333360991,0.061722033336991444,0.04653356999954364,0.061722033336991444,0,0,0,3.873673933335813,1.0629309000020537,50,1,0
50,100,5,5,matrix,parallel,3,7.744753333332483,7.733414600021206,7.7637648999807425,3.3076817000013157,3.301558900013333,3.311988700006623,4.437071633331167,57.29132281378861,2.3414445632206395,100,20,80.0,100,100,100,100,20,3.019354900063869,2.0603878334125816,0,0,0,0,0,100,100,0,0,25,100,0.04604296666608813,0.06184015000568858,0.062286796669650354,0.06275869000285941,0.04664034933443569,0.06154842333489796,0,0,0,7.764753333332482,3.4076661666719397,30,1,0
50,100,10,10,matrix,parallel,3,7.744753333332483,7.733414600021206,7.7637648999807425,2.4431873999904687,2.4324166999722365,2.451008100004401,5.3015659333420135,68.45364474714404,3.1699383081963735,100,10,90.0,100,100,100,100,10,3.019354900063869,1.8253331000936062,0,0,0,0,0,100,100,0,0,25,100,0.04604296666608813,0.06166898332594428,0.062286796669650354,0.06251791499574513,0.04664034933443569,0.060910846662591216,0,0,0,7.764753333332482,2.643160400009947,40,1,0
50,100,20,20,matrix,parallel,3,7.744753333332483,7.733414600021206,7.7637648999807425,2.084780333340556,2.079382500000065,2.0924809999996796,5.659972999991927,73.08138498913952,3.7149013780855498,100,5,95.0,100,100,100,100,5,3.019354900063869,1.7758056666934863,0,0,0,0,0,100,100,0,0,25,100,0.04604296666608813,0.061291266669286415,0.062286796669650354,0.0624868600066596,0.04664034933443569,0.06081347333577772,0,0,0,7.764753333332482,2.484765299993645,40,1,0
50,100,50,50,matrix,parallel,3,7.744753333332483,7.733414600021206,7.7637648999807425,1.1308081999983794,1.127593799988972,1.1338125000183936,6.613945133334103,85.39904175990321,6.848865557698982,100,2,98.0,100,100,100,100,2,3.019354900063869,1.0101175333353847,0,0,0,0,0,100,100,0,0,25,100,0.04604296666608813,0.05901183333965795,0.062286796669650354,0.06106899334457315,0.04664034933443569,0.05901183333965795,0,0,0,7.764753333332482,2.1307892666663975,50,1,0
50,10,50,10,matrix_then_single,parallel,3,0.7282747333326066,0.7275668999936897,0.7296122999978252,0.9989284999901429,0.9843411000038031,1.0220526999910362,-0.27065376665753627,-37.16369033139687,0.7290559167545956,10,11,-10.0,10,10,20,10,11,0.27483329999571043,0.4865210333179372,0,0,0,0,0,10,10,0,0,3,3,0.04650623334843355,0.046326533338287845,0.06180391166223368,0.06203866666085863,0.04472435000255549,0.045804324238843314,100,0,0,0.7482747333326066,1.0188916333233162,20,1,0
50,25,50,25,matrix_then_single,parallel,3,1.9006316333349484,1.8919424999912735,1.9095214999979362,2.4783078333324133,2.4646833000006154,2.4911086999927647,-0.5776761999974649,-30.393906418564853,0.7669070031462949,25,26,-4.0,25,25,50,25,26,0.7335968666399518,1.244814100044702,0,0,0,0,0,25,25,0,0,6,6,0.046446866675978526,0.046448783337837085,0.06257471333180244,0.06261055833116795,0.04607076133135706,0.0467060846172106,100,0,0,1.9206316333349485,2.498277299988937,31,1,0
50,50,50,50,matrix_then_single,parallel,3,3.8536739333358128,3.8384695000131615,3.86357760001556,4.919835433334811,4.904676900012419,4.932669599977089,-1.066161499998998,-27.666105603182373,0.7832932596128888,50,51,-2.0,50,50,100,50,51,1.4960322999686468,2.50831940008599,0,0,0,0,0,50,50,0,0,13,13,0.046338316664332524,0.04636140001821332,0.06266738333360991,0.06252688333916012,0.04653356999954364,0.04655376470589164,100,0,0,3.873673933335813,4.93980196666477,50,1,0
50,100,50,50,matrix_then_single,parallel,3,7.744753333332483,7.733414600021206,7.7637648999807425,9.915276800010664,9.88894220002112,9.935423499991884,-2.1705234666781816,-28.02572752493628,0.7810930032053319,100,102,-2.0,100,100,200,100,102,3.019354900063869,5.042366733231272,0,0,0,0,0,100,100,0,0,25,25,0.04604296666608813,0.04648790000161777,0.062286796669650354,0.06263980499837392,0.04664034933443569,0.04702148333260732,100,0,0,7.764753333332482,9.935233166674152,50,1,0
50,50,50,50,matrix,serial,3,3.8536739333358128,3.8384695000131615,3.86357760001556,1.9951833666612704,1.9927336999971885,1.9979657999938354,1.8584905666745424,48.22646126331186,1.9314886028668787,50,1,98.0,50,50,50,50,1,1.4960322999686468,3.660000705470642e-05,0,0,0,0,0,50,50,0,0,13,50,0.046338316664332524,1.994013466668548,0.06266738333360991,1.994013466668548,0.04653356999954364,1.994013466668548,0,0,0,3.873673933335813,2.995166166666119,50,1,0
50,100,50,50,matrix,serial,3,7.744753333332483,7.733414600021206,7.7637648999807425,5.015156033322758,5.008386800007429,5.020293799985666,2.7295973000097247,35.244470450232,1.5442696661625597,100,2,98.0,100,100,100,100,2,3.019354900063869,1.0056628333598685,0,0,0,0,0,100,100,0,0,25,100,0.04604296666608813,2.0035507500045546,0.062286796669650354,2.008607595009865,0.04664034933443569,2.0035507500045546,0,0,0,7.764753333332482,6.015139866659108,50,1,0
